uniqueID,drugName,condition,review,rating,date,usefulCount
192361,Drospirenone / ethinyl estradiol,Birth Control,"""No side effects(nausea, headaches,etc) 
Regulated my period""",9,5-May-15,3
202481,Lithium,Bipolar Disorde,"""When I originally got sick with insomnia and mania, I was prescribed Seroquel. 5 years later was admitted to the hospital and a student doc suggested I try lithium. 

It kills fast onset mania quickly and fortunately have minor ill effects from it. Lost precision hand eye coordination for playing sports like baseball, that&#039;s the only issue I have had with it. And minor sun sensitivity.

Its also good being a natural substance on the table of elements so it&#039;s not a synthetic medicine.  

Very lucky to be on a low level that works so no need for constant blood monitoring.""",8,7-Jul-14,33
42681,Concerta,ADHD,"""As an adult with ADHD Concerta is the way to go. Focused and able to complete tasks. Although the lack of appetite and sleep come into play the time released 18mg work better for me then the 27mg...With 27 mgs I was tired and moody.""",8,9-Aug-09,40
138297,Orthovisc,Osteoarthritis,"""What a waste of money I paid a copay of $400 for 3 injections in my left and right knee. I am bone on bone they are worst now after the shots ortho visc should be investigated for false claims on what their product doesn&#039;t do, very dissapointed.  I tryed to complain on their site but there is no contact us on their page""",1,20-Jun-15,21
76754,Lorcaserin,Weight Loss,"""Took first pill yesterday. Noticed almost immediately no appetite. Got a hummus wrap for lunch &amp; couldn&#039;t even eat half of it; I can usually eat the whole thing. Dinner I ate the other half then took 2nd pill. Now as I write this almost 14 hours later after that 2nd pill I wish I had never taken it &amp; won&#039;t take it again. Last night chills. My arm tingled all night long &amp; thought it was signaling a heart attack. That thought caused me a lot of anxiety &amp; I could not sleep well. Got up twice during the night to go to the bathroom &amp; had to hold the wall all the way there as my legs and back were in severe muscle pain. This morning had a hard time dragging myself out of bed.  Most meds seem to react fully on me.  I cannot take Belviq.""",1,22-Jun-16,19
156326,Ropinirole,Restless Legs Syndrome,"""Ropinerol works for my jumpy legs, but I had to start taking it earlier and earlier.  Now believe me side effects are real.  I became reckless with money - my credit score dropped from 700s to 500s. I started to gamble so bad I would gather all the change in the house just to be able to play the slots.  I would gamble instead of paying the mortgage.""",8,13-Jun-15,25
22846,Mestinon,Dysautonomia,"""I&#039;ve been on 30mg of Mestinon two times a day for about three months, I had diarrhea the first few days, more shortness of breath, and some drowsiness, after that I started noticing improvement in my cognition (the worst part of my dysautonomia &amp; Fibromyalgia, to me), and I am able to keep &#039;doing&#039; things longer than I could before.  I do notice when it begins to wear off and I may go up to three times a day on it.  I&#039;m very pleased.  The only negative I have is big increase in eyelid twitching, and awful muscle spasms in my feet.  My neurologist has had me start B-6 for this and it helps a lot.""",8,29-Jun-14,9
212257,Lamotrigine,Seizure Prevention,"""I love this medicine. Made it that I didn&#039;t have to take my original Lamictal 150mg morning and night, now I just take the XR 300mg every day at lunch. """,10,27-Mar-12,12
159061,TriNessa,Birth Control,"""I have I have been taking tri ness for only a couple of days now and my breast are really tender and sore they hurt , sudden movement they hurt . Thinking maybe I should take a pregnancy test or for sure it might just be the pill .""",7,18-Jan-16,2
192411,Drospirenone / ethinyl estradiol,Acne,"""I am now on my 5th month of Yaz and I have zero acne, best decision I&#039;ve ever made. I first started noticing a difference after the 2sd week, the acne I had started healing and I stopped breaking out (I use get at least one or two new pimples a week, and get a bunch around my period) after the first month I stopped  getting acne all together and I only had some scars. By the second month my scar finally faded and now in my fifth month my skin is completely clear. Everyone is different but I would definitely recommend trying this!""",10,26-Nov-14,21
