uniqueID,drugName,condition,review,rating,date,usefulCount
127888,Phentermine,Weight Loss,"""I started taking Phentermine just a little over a month ago weighing in at 307. My doctor started me out with half a 37.5 mg pill 2x a day. I immediately felt the medicine start working, the jittery jumping out of your skin feeling and I had a lot of energy the first few days. I sweated profusely and had to have water by my side at all times.  I felt the meds even out and by the 5th day I was asking my doctor to let me take a whole pill once a day. I make sure I take my dose early when I first wake up. So in about 5 weeks I have dropped down to 293. This drug is life changing for me. I should be on disability and I&#039;m in chronic pain but this medicine has seemed to help me beyond the appetite suppressant. I&#039;m a 40 year old female with hope!""",10,26-Nov-16,24
197702,Desvenlafaxine,Depression,"""I have had depression for years due to situations that added to it continually.  I have tried every pill made to help.  Usually within 3 days I would take myself off them because of gaining weight within that period of 3 to 5 pounds, also feeling awful to the point of despair.  I had neck surgery that left me with pain everyday to the point of not wanting to live.  My pain management Doctor prescribed Pristiq along with epidural procedures for pain. Within the first day of taking Pristiq I felt a great difference in my mood.  Within 3 days I knew this medicine was totally different.  I have been on it for a month now and the only side effects I&#039;ve had have been minor.  It&#039;s been a great month of feeling more like my old self.""",10,25-Jul-09,31
40759,Leuprolide,Endometriosis,"""I was actually surprised to learn I had stage 4 endometriosis along with 2 endometrioma&#039;s and a dermoid cyst. I had always had a poochy gut and severe menstrual cramps since I was 16. I am 27 now and have been pain free for the last 5 months on Lupron Depot. I had a laproscopic cystectomy and a laparotomy this year. I did suffer side effects of hot flashes and mood swings but was prescribed 1mg estrogen daily and I&#039;m pretty much normal! In about 6 weeks I will begin trying to conceive my first child! The Lupron and my Doctor have been a blessing!""",8,21-Dec-11,31
208098,Zyclara,Keratosis,"""Have used this for one week but began to have serious side-effects including hives all over my back, severe diarrhea, terrible cold/flu, headache, joint soreness.  I do have an autoimmune disorder (endometriosis and Raynaund&#039;s) and the medication has warnings for people with autoimmune disorders so that may be why I am having such an adverse reaction.  Will see doctor tomorrow to learn if I should switch to Efudex maybe but will probably look into the genetic testing for DPD before I start that one.""",7,20-Jan-13,17
161657,Diphenhydramine,Allergic Reactions,"""Experienced an allergic reaction during dinner at a new restaurant. Throat started itching terribly so we left and drove to the nearest pharmacy. Used Benadryl syrup because I thought it would work faster. Fixed my allergic reaction in a minute.""",10,11-Apr-15,20
93464,Progesterone,Perimenopausal Symptoms,"""I take this medicine in conjunction with applications of divigel """,9,18-May-11,8
15107,Ethinyl estradiol / norethindrone,Birth Control,"""I wanted to give my input since most of these reviews are negative. This is my first time being on birth control. Before the BC my periods were extremely irregular and painful. Starting the BC one of the side effects that I&#039;ve noticed was me being extremely sleepy for the first 3 to 4 days. Other than that, it improved my mood. I don&#039;t get irritated that quick like I usually do. It cleared up my breakout that I was having on my chin too. I did not experience weight gain. I stayed the same. I still do get a period while being on this pill. So yes, I&#039;ve experienced good things so far on this pill :)""",10,2-May-17,12
59240,Lansoprazole,Erosive Esophagitis,"""Expensive but really helps with little or no side effects.""",10,24-Jan-09,29
12838,Etanercept,Rheumatoid Arthritis,"""I have been on Enbrel for 6 months - - after spending 23 years on various other rheumatoid arthritis medicines and 10 years of steroids.  I have been totally free of pain and stiffness. The only drawback is the injection from the pen &quot;hurts&quot;, but it is a small price to pay. I sometimes get a small local reaction at the injection site.  I am very happy with the physical results of this medication. I hope the cost will come down in the near future.""",8,15-Oct-10,0
101981,Silenor,Insomnia,"""I couldn&#039;t stay asleep, tried Lunesta and Ambien, they had side effects I couldn&#039;t tolerate.  Sleep center said I had mild apnea and said their monitors showed me sleeping but I felt like I was awake more than they said I was and was literally exhausted every day, felt like I was on the verge of &quot;losing it,&quot; crying a lot.  Was not sad/depressed--was sleep deprived.  Have been taking 2 Silenor a night for 2 years:  sleep like a baby, 8 hours required, wake up rested, functioning beautifully--I have my life back.""",10,13-May-14,180
175646,Augmentin,4</span> users found this comment helpful.,"""Sadly, I have not had a good experience with this medication. I was prescribed this after 8 days of regular Amoxicillin was ineffective against an ear infection that was caused by an eardrum rupture due to flying. Today is the 6th day of this medicine, and I finally gave up and called the doctor. I can no longer handle the nausea, diarrhea, exhaustion, heart palpitations,itching,  and malaise. Luckily I was told to stop the medication and will be seen by my doctor on Wednesday. This may be a good drug for some people, but as for me.""",2,27-Dec-10,4
58851,Pradaxa,Prevention of Thromboembolism in Atrial Fibrillation,"""If you are new to taking this medication or are currently on Warfarin, here are a few things to keep in mind:  (1) when you start this medication you will likely have a lot of acid - be sure to take Ranitidine but in half the dose most physicians will prescribe.  Zantac and other meds will change your body&#039;s PH and make you likely to get yeast &amp; fungal infections   (2) there is no way to reverse the effects of Pradaxa which is a big issue if you are bleeding in a hospital&#039;s ER.  (3) Pradaxa is great when it comes to diet.  You can eat all the broccoli &amp; vitamin K you want.  (4) Pradaxa does not require biweekly blood tests.  (5) Your joints will ache after 90 days on Pradaxa   (6) Vein pain is common.""",9,31-Oct-13,85
166491,Levonorgestrel,Emergency Contraception,"""I took the pill 8 hours after unprotected sex. The guy bought it because the man at the counter said it was just as effective as &quot;Plan-B&quot;  but cheaper. Fast forward tow weeks, im having hard cramps and mu period was 5 days late. I took a pregnancy test and it came back possitive. PAY THE EXTRA $10 FOR THE &quot;Plan-B&quot;. Aftera is NOT effective""",1,5-Oct-16,3
106972,Implanon,Birth Control,"""I am 51 year old on my 2nd Implanon device; the first one replaced at 3 years as recommended.  I did gain some weight, but it&#039;s more a water retention thing.  I used to have very painful periods, which is why my GYN recommended it.  I&#039;m one of the lucky ones.  Have not had any periods in 5 years, (spotted a bit the first month only) and plan to continue to use the Implanon until I&#039;m completely menopausal (still perimenopausal).  The only reason I can&#039;t give it a 10 is whenever my blood pressure is taken in the left arm, the implant site &quot;pinches&quot;, solved by having BP taken on the other arm, but I was told I shouldn&#039;t be able to notice it.  Cost a bit up front (even with insurance), but saved on prescription co-pays for 3 years so still cost effective.""",9,12-Jul-13,7
204538,BuSpar,Anxiety,"""Been on this medication for over 12 years.  Works well for me. Calms me down without the &quot;brain zapping&quot; I got from Paxil and Lexapro. Dosage has been adjusted throughout the years. I am told 60mgs a day is the maximum dose. I am currently on 15mgs 3 times per day.  It took a good two weeks to get into my system, and I remember thinking it wasn&#039;t working at first.  It&#039;s no Xanax, but it has helped me much more then Paxil and Lexapro did.  This works well for me, and I have no issues taking it for the rest of my life.  I do get some increased hunger and minor dizziness after each dose for about 15 minutes, but that beats being anxious and worrying all the time.  It is also pretty cheap.""",9,24-Apr-13,197
6342,Formoterol / mometasone,moterol / mometasone),"""Dulera works pretty well, do not need to use my rescue inhaler as often, but the one main downside is that it continuously causes me to have sinuitis which then causes a migraine.  I have always had bad problems with my sinuses, so am definately reconsidering continuing using this product.""",5,24-Oct-13,31
